date,pos_tencent,neg_tencent,net_tencent,pos_alibaba,neg_alibaba,net_alibaba,pos_xiaomi,neg_xiaomi,net_xiaomi
2024-06-01,0.9991,0.0,0.9991,0.9992,0.0,0.9992,0.997,0.0,0.997
2024-06-02,NaN,NaN,NaN,0.7494,0.2472,0.5022,0.7478,0.2408,0.5069
2024-06-05,NaN,NaN,NaN,0.8085,0.1854,0.6231,0.809,0.1806,0.6284
2024-06-07,NaN,NaN,NaN,0.8256,0.1391,0.6865,0.8484,0.3515,0.3296
2024-06-08,NaN,NaN,NaN,0.8598,0.1043,0.7555,0.8112,0.5034,0.2014
2024-06-11,0.9914,0.0,0.9914,0.8831,0.0782,0.8049,NaN,NaN,NaN
2024-06-12,NaN,NaN,NaN,0.9119,0.0587,0.8532,NaN,NaN,NaN
2024-06-13,NaN,NaN,NaN,NaN,NaN,NaN,0.6084,0.623,-0.0944
2024-06-14,NaN,NaN,NaN,NaN,NaN,NaN,0.6943,0.4672,0.1672
2024-06-15,NaN,NaN,NaN,0.9312,0.044,0.8872,NaN,NaN,NaN
2024-06-16,0.9716,0.2473,0.6037,NaN,NaN,NaN,NaN,NaN,NaN
2024-06-17,0.7287,0.4328,0.2055,0.9482,0.2824,0.7597,0.5207,0.5989,-0.123
2024-06-18,NaN,NaN,NaN,0.9491,0.4509,0.7429,NaN,NaN,NaN
2024-06-19,0.7961,0.3246,0.4036,0.7118,0.5878,0.3076,0.6389,0.4492,0.1561
2024-06-20,0.8434,0.2434,0.5491,NaN,NaN,NaN,0.7282,0.3369,0.3661
2024-06-23,0.8731,0.1826,0.6524,0.783,0.4408,0.4798,NaN,NaN,NaN
2024-06-24,0.9047,0.1369,0.7391,NaN,NaN,NaN,NaN,NaN,NaN
2024-06-25,0.9165,0.1027,0.7923,NaN,NaN,NaN,NaN,NaN,NaN
2024-06-27,NaN,NaN,NaN,NaN,NaN,NaN,0.7919,0.2526,0.5204
2024-06-28,NaN,NaN,NaN,NaN,NaN,NaN,0.8439,0.1895,0.6402
2024-06-29,NaN,NaN,NaN,NaN,NaN,NaN,0.6329,0.3889,0.2334
2024-07-01,0.9371,0.077,0.844,NaN,NaN,NaN,0.7241,0.2916,0.4245
2024-07-02,NaN,NaN,NaN,0.7253,0.3306,0.4979,NaN,NaN,NaN
2024-07-04,NaN,NaN,NaN,NaN,NaN,NaN,0.7901,0.2187,0.5654
2024-07-05,NaN,NaN,NaN,NaN,NaN,NaN,0.8412,0.1641,0.6727
2024-07-08,NaN,NaN,NaN,NaN,NaN,NaN,0.6309,0.3689,0.2587
2024-07-09,NaN,NaN,NaN,NaN,NaN,NaN,0.7227,0.2766,0.4435
2024-07-10,0.9329,0.0578,0.8631,0.7921,0.248,0.6215,0.7482,0.2075,0.5388
2024-07-11,NaN,NaN,NaN,0.8422,0.186,0.7143,0.81,0.1556,0.653
2024-07-12,0.9474,0.0433,0.895,NaN,NaN,NaN,0.8536,0.3659,0.5302
2024-07-16,NaN,NaN,NaN,0.8812,0.1395,0.7853,0.8886,0.2745,0.6461
2024-07-17,0.9554,0.0325,0.9161,NaN,NaN,NaN,0.9162,0.2058,0.7343
2024-07-18,NaN,NaN,NaN,NaN,NaN,NaN,0.9367,0.1544,0.8003
2024-07-19,NaN,NaN,NaN,NaN,NaN,NaN,0.9464,0.3577,0.812
2024-07-20,NaN,NaN,NaN,NaN,NaN,NaN,0.9477,0.2683,0.8469
2024-07-21,NaN,NaN,NaN,NaN,NaN,NaN,0.9531,0.2012,0.8775
2024-07-22,NaN,NaN,NaN,NaN,NaN,NaN,0.9434,0.1509,0.8867
2024-07-24,NaN,NaN,NaN,NaN,NaN,NaN,0.9541,0.1132,0.9116
2024-07-26,NaN,NaN,NaN,NaN,NaN,NaN,0.9629,0.0849,0.931
2024-07-27,NaN,NaN,NaN,0.9107,0.1046,0.8387,0.972,0.0637,0.948
