date,pos_sentiment,neg_sentiment,net_sentiment,topic_count,pos_heat,neg_heat,total_heat,pos_sentiment_smooth,neg_sentiment_smooth,net_sentiment_smooth
2024-06-01,0.9992,0.0,0.9992,2,536376,0,536376,0.9992,0.0,0.9992
2024-06-02,0.0,0.9889,-0.9889,1,0,372133,372133,0.7494,0.2472,0.5022
2024-06-05,0.9858,0.0,0.9858,1,97552,0,97552,0.8085,0.1854,0.6231
2024-06-07,0.8768,0.0,0.8768,1,264371,0,264371,0.8256,0.1391,0.6865
2024-06-08,0.9626,0.0,0.9626,2,295145,0,295145,0.8598,0.1043,0.7555
2024-06-11,0.953,0.0,0.953,1,200773,0,200773,0.8831,0.0782,0.8049
2024-06-12,0.9982,0.0,0.9982,1,173513,0,173513,0.9119,0.0587,0.8532
2024-06-15,0.9892,0.0,0.9892,2,509393,0,509393,0.9312,0.044,0.8872
2024-06-17,0.9992,0.9976,0.3772,5,921286,416894,1338180,0.9482,0.2824,0.7597
2024-06-18,0.9518,0.9564,0.6924,4,856336,134742,991078,0.9491,0.4509,0.7429
2024-06-19,0.0,0.9984,-0.9984,1,0,186336,186336,0.7118,0.5878,0.3076
2024-06-23,0.9967,0.0,0.9967,1,663865,0,663865,0.783,0.4408,0.4798
2024-07-02,0.5519,0.0,0.5519,1,220005,0,220005,0.7253,0.3306,0.4979
2024-07-10,0.9926,0.0,0.9926,1,243718,0,243718,0.7921,0.248,0.6215
2024-07-11,0.9926,0.0,0.9926,1,117621,0,117621,0.8422,0.186,0.7143
2024-07-16,0.9982,0.0,0.9982,1,170091,0,170091,0.8812,0.1395,0.7853
2024-07-27,0.9991,0.0,0.9991,1,860090,0,860090,0.9107,0.1046,0.8387
2024-08-30,0.0,0.7662,-0.7662,2,0,1921278,1921278,0.683,0.27,0.4375
2024-09-07,0.9985,0.0,0.9985,1,378876,0,378876,0.7619,0.2025,0.5778
2024-09-10,0.9811,0.0,0.9811,1,114917,0,114917,0.8167,0.1519,0.6786
2024-09-13,0.0,0.6635,-0.6635,1,0,529881,529881,0.6125,0.2798,0.3431
2024-09-14,0.8545,0.9922,0.0266,2,457154,371476,828630,0.673,0.4579,0.2639
2024-09-15,0.0,0.998,-0.998,1,0,162900,162900,0.5048,0.5929,-0.0515
2024-09-19,0.9994,0.0,0.9994,1,194532,0,194532,0.6284,0.4447,0.2112
2024-09-26,0.8119,0.0,0.8119,1,108764,0,108764,0.6743,0.3335,0.3614
2024-10-12,0.9341,0.0,0.9341,3,1024795,0,1024795,0.7392,0.2501,0.5046
2024-10-14,0.989,0.0,0.989,3,1299023,0,1299023,0.8017,0.1876,0.6257
2024-10-16,0.9385,0.0,0.9385,1,279431,0,279431,0.8359,0.1407,0.7039
2024-10-18,0.86,0.0,0.86,1,355172,0,355172,0.8419,0.1055,0.7429
2024-10-20,0.9983,0.0,0.9983,1,350422,0,350422,0.881,0.0791,0.8068
2024-10-21,0.9928,0.9842,0.8079,7,1937370,199924,2137294,0.909,0.3054,0.807
2024-10-23,0.9974,0.0,0.9974,1,193093,0,193093,0.9311,0.2291,0.8546
2024-10-25,0.9901,0.0,0.9901,1,239439,0,239439,0.9458,0.1718,0.8885
2024-10-28,0.9201,0.0,0.9201,2,963134,0,963134,0.9394,0.1288,0.8964
2024-10-30,0.8759,0.0,0.8759,1,360211,0,360211,0.9235,0.0966,0.8913
2024-10-31,0.9955,0.9976,0.5658,7,1729246,475299,2204545,0.9415,0.3219,0.8099
2024-11-03,0.9982,0.9897,0.7413,4,1160119,172164,1332283,0.9557,0.4888,0.7928
2024-11-10,0.9262,0.0,0.9262,6,2287211,0,2287211,0.9483,0.3666,0.8261
2024-11-11,0.9975,0.9839,0.3344,6,1372969,690514,2063483,0.9606,0.5209,0.7032
2024-11-29,0.9955,0.0,0.9955,1,240675,0,240675,0.9693,0.3907,0.7763
2024-12-06,0.8707,0.0,0.8707,1,410425,0,410425,0.9447,0.293,0.7999
2024-12-07,0.0,0.9757,-0.9757,1,0,180651,180651,0.7085,0.4637,0.356
2024-12-08,0.0,0.9757,-0.9757,1,0,117231,117231,0.5314,0.5917,0.0231
2024-12-12,0.0,0.9799,-0.9799,1,0,926977,926977,0.3985,0.6887,-0.2277
2024-12-14,0.0,0.9985,-0.9985,2,0,276170,276170,0.2989,0.7662,-0.4204
2024-12-17,0.0,0.9962,-0.9962,1,0,659100,659100,0.2242,0.8237,-0.5643
2025-01-01,0.0,0.9926,-0.9926,1,0,128706,128706,0.1681,0.8659,-0.6714
2025-02-05,0.0,0.9986,-0.9986,1,0,221186,221186,0.1261,0.8991,-0.7532
2025-02-06,0.0,0.9936,-0.9936,1,0,324870,324870,0.0946,0.9227,-0.8133
2025-02-11,0.9893,0.0,0.9893,2,508609,0,508609,0.3183,0.692,-0.3627
2025-02-12,0.9872,0.0,0.9872,2,444438,0,444438,0.4855,0.519,-0.0252
2025-02-13,0.992,0.0,0.992,1,369213,0,369213,0.6121,0.3893,0.2291
2025-02-21,0.9916,0.5547,0.5402,3,675895,278681,954576,0.707,0.4306,0.3069
2025-02-25,0.0,0.9984,-0.9984,1,0,107628,107628,0.5302,0.5726,-0.0194
2025-03-13,0.9992,0.0,0.9992,2,519471,0,519471,0.6475,0.4294,0.2352
2025-03-18,0.9966,0.0,0.9966,1,299862,0,299862,0.7348,0.3221,0.4256
2025-03-19,0.9734,0.0,0.9734,1,203429,0,203429,0.7944,0.2416,0.5625
2025-03-25,0.0,0.639,-0.639,1,0,142776,142776,0.5958,0.3409,0.2621
2025-04-10,0.9976,0.0,0.9976,1,175007,0,175007,0.6963,0.2557,0.446
2025-04-25,0.0,0.9955,-0.9955,1,0,246505,246505,0.5222,0.4406,0.0856
2025-04-28,0.9949,0.0,0.9949,1,488100,0,488100,0.6404,0.3305,0.3129
2025-05-09,0.8311,0.0,0.8311,1,184780,0,184780,0.6881,0.2479,0.4425
2025-05-10,0.6612,0.0,0.6612,2,163121,0,163121,0.6813,0.1859,0.4972
2025-05-12,0.97,0.0,0.97,1,238833,0,238833,0.7535,0.1394,0.6154
2025-05-13,0.9644,0.0,0.9644,3,1018250,0,1018250,0.8062,0.1046,0.7026
2025-05-15,0.9887,0.0,0.9887,1,544025,0,544025,0.8518,0.0784,0.7741
2025-05-16,0.9952,0.996,0.5329,4,927952,280582,1208534,0.8877,0.3078,0.7138
2025-05-18,0.0,0.9988,-0.9988,1,0,364427,364427,0.6658,0.4806,0.2857
2025-05-19,0.9989,0.0,0.9989,3,603702,0,603702,0.749,0.3604,0.464
2025-05-20,0.9987,0.0,0.9987,1,285118,0,285118,0.8115,0.2703,0.5977
2025-05-21,0.0,0.9292,-0.9292,1,0,311910,311910,0.6086,0.435,0.2159
2025-05-22,0.9976,0.0,0.9976,1,507645,0,507645,0.7058,0.3263,0.4114
2025-05-23,0.9989,0.0,0.9989,1,375358,0,375358,0.7791,0.2447,0.5582
2025-05-24,0.9907,0.0,0.9907,1,292524,0,292524,0.832,0.1835,0.6664
