date,pos_sentiment,neg_sentiment,net_sentiment,topic_count,pos_heat,neg_heat,total_heat,pos_sentiment_smooth,neg_sentiment_smooth,net_sentiment_smooth
2024-06-01,0.9991,0.0,0.9991,1,158247,0,158247,0.9991,0.0,0.9991
2024-06-11,0.9682,0.0,0.9682,1,297742,0,297742,0.9914,0.0,0.9914
2024-06-16,0.9123,0.9892,-0.5592,2,200342,685506,885848,0.9716,0.2473,0.6037
2024-06-17,0.0,0.9892,-0.9892,1,0,129715,129715,0.7287,0.4328,0.2055
2024-06-19,0.9981,0.0,0.9981,1,143211,0,143211,0.7961,0.3246,0.4036
2024-06-20,0.9855,0.0,0.9855,2,522949,0,522949,0.8434,0.2434,0.5491
2024-06-23,0.9623,0.0,0.9623,1,371189,0,371189,0.8731,0.1826,0.6524
2024-06-24,0.9992,0.0,0.9992,2,3044966,0,3044966,0.9047,0.1369,0.7391
2024-06-25,0.952,0.0,0.952,2,1846452,0,1846452,0.9165,0.1027,0.7923
2024-07-01,0.999,0.0,0.999,1,314826,0,314826,0.9371,0.077,0.844
2024-07-10,0.9204,0.0,0.9204,2,792529,0,792529,0.9329,0.0578,0.8631
2024-07-12,0.9906,0.0,0.9906,1,425876,0,425876,0.9474,0.0433,0.895
2024-07-17,0.9796,0.0,0.9796,1,177320,0,177320,0.9554,0.0325,0.9161
2024-08-10,0.9975,0.0,0.9975,1,319518,0,319518,0.9659,0.0244,0.9365
2024-08-12,0.0,0.9904,-0.9904,1,0,176123,176123,0.7245,0.2659,0.4548
2024-08-14,0.9914,0.9695,0.1541,2,192105,143154,335259,0.7912,0.4418,0.3796
2024-08-15,0.8372,0.0,0.8372,1,180812,0,180812,0.8027,0.3313,0.494
2024-08-20,0.999,0.9952,-0.3312,2,263587,528004,791591,0.8518,0.4973,0.2877
2024-08-29,0.9721,0.0,0.9721,2,2321643,0,2321643,0.8819,0.373,0.4588
2024-08-30,0.9693,0.0,0.9693,3,1461505,0,1461505,0.9037,0.2797,0.5864
2024-08-31,0.9923,0.0,0.9923,1,58719,0,58719,0.9259,0.2098,0.6879
2024-09-02,0.9989,0.0,0.9989,1,368771,0,368771,0.9441,0.1573,0.7656
2024-09-10,0.9984,0.0,0.9984,1,142291,0,142291,0.9577,0.118,0.8238
2024-09-13,0.0,0.9588,-0.9588,2,0,722249,722249,0.7183,0.3282,0.3782
2024-09-20,0.0,0.9957,-0.9957,1,0,208405,208405,0.5387,0.4951,0.0347
2024-10-09,0.9048,0.0,0.9048,2,525158,0,525158,0.6302,0.3713,0.2522
2024-11-01,0.9994,0.0,0.9994,1,434051,0,434051,0.7225,0.2785,0.439
2024-11-06,0.9984,0.0,0.9984,1,137397,0,137397,0.7915,0.2089,0.5789
2024-11-07,0.6054,0.0,0.6054,1,939956,0,939956,0.745,0.1566,0.5855
2024-11-08,0.9936,0.0,0.9936,1,212978,0,212978,0.8071,0.1175,0.6875
2024-11-09,0.9331,0.9834,-0.0713,3,701400,772426,1473826,0.8386,0.334,0.4978
2024-11-10,0.0,0.9834,-0.9834,1,0,294876,294876,0.629,0.4963,0.1275
2024-11-12,0.9847,0.0,0.9847,1,310206,0,310206,0.7179,0.3722,0.3418
2024-11-13,0.9919,0.0,0.9919,3,1300519,0,1300519,0.7864,0.2792,0.5043
2024-11-14,0.9813,0.9898,0.1116,2,174721,137967,312688,0.8351,0.4568,0.4061
2024-12-01,0.0,0.8539,-0.8539,1,0,471434,471434,0.6263,0.5561,0.0911
2024-12-02,0.9988,0.8539,-0.1834,2,321789,567306,889095,0.7195,0.6306,0.0225
2024-12-06,0.9978,0.0,0.9978,1,203558,0,203558,0.789,0.4729,0.2663
2024-12-08,0.0,0.9903,-0.9903,1,0,269423,269423,0.5918,0.6023,-0.0478
2024-12-10,0.0,0.9788,-0.9788,1,0,1394641,1394641,0.4438,0.6964,-0.2806
2024-12-14,0.8729,0.9871,-0.6256,2,98340,407694,506034,0.5511,0.7691,-0.3668
2024-12-15,0.0,0.9871,-0.9871,1,0,314550,314550,0.4133,0.8236,-0.5219
2024-12-16,0.8476,0.0,0.8476,1,196212,0,196212,0.5219,0.6177,-0.1795
2024-12-19,0.9934,0.0,0.9934,1,201537,0,201537,0.6398,0.4633,0.1137
2024-12-23,0.9528,0.0,0.9528,1,197367,0,197367,0.718,0.3474,0.3235
2024-12-25,0.999,0.0,0.999,1,234192,0,234192,0.7883,0.2606,0.4924
2024-12-26,0.9971,0.0,0.9971,3,989057,0,989057,0.8405,0.1954,0.6185
2024-12-28,0.0,0.9945,-0.9945,1,0,218475,218475,0.6304,0.3952,0.2153
2025-01-01,0.999,0.0,0.999,1,152162,0,152162,0.7225,0.2964,0.4112
2025-01-04,0.9762,0.0,0.9762,1,174432,0,174432,0.7859,0.2223,0.5525
2025-01-07,0.0,0.7061,-0.7061,1,0,445449,445449,0.5895,0.3433,0.2378
2025-01-09,0.9965,0.0,0.9965,1,144122,0,144122,0.6912,0.2574,0.4275
2025-01-12,0.9949,0.0,0.9949,1,1279378,0,1279378,0.7671,0.1931,0.5693
2025-01-13,0.0,0.9713,-0.9713,1,0,181878,181878,0.5754,0.3876,0.1842
2025-01-16,0.0,0.9797,-0.9797,1,0,106659,106659,0.4315,0.5357,-0.1068
2025-01-19,0.9958,0.0,0.9958,1,20492,0,20492,0.5726,0.4017,0.1689
2025-01-21,0.9605,0.0,0.9605,1,114434,0,114434,0.6696,0.3013,0.3668
2025-01-24,0.9955,0.0,0.9955,1,352223,0,352223,0.751,0.226,0.524
