date,pos_sentiment,neg_sentiment,net_sentiment,topic_count,pos_heat,neg_heat,total_heat,pos_sentiment_smooth,neg_sentiment_smooth,net_sentiment_smooth
2024-06-01,0.997,0.0,0.997,2,272248,0,272248,0.997,0.0,0.997
2024-06-02,0.0,0.9633,-0.9633,1,0,150802,150802,0.7478,0.2408,0.5069
2024-06-05,0.9928,0.0,0.9928,1,98596,0,98596,0.809,0.1806,0.6284
2024-06-07,0.9666,0.8642,-0.5669,4,284574,1467781,1752355,0.8484,0.3515,0.3296
2024-06-08,0.6994,0.959,-0.183,3,805216,915662,1720878,0.8112,0.5034,0.2014
2024-06-13,0.0,0.9817,-0.9817,1,0,565613,565613,0.6084,0.623,-0.0944
2024-06-14,0.9519,0.0,0.9519,1,415428,0,415428,0.6943,0.4672,0.1672
2024-06-17,0.0,0.9938,-0.9938,1,0,171295,171295,0.5207,0.5989,-0.123
2024-06-19,0.9936,0.0,0.9936,1,173849,0,173849,0.6389,0.4492,0.1561
2024-06-20,0.9959,0.0,0.9959,1,338918,0,338918,0.7282,0.3369,0.3661
2024-06-27,0.9833,0.0,0.9833,1,121040,0,121040,0.7919,0.2526,0.5204
2024-06-28,0.9997,0.0,0.9997,1,193598,0,193598,0.8439,0.1895,0.6402
2024-06-29,0.0,0.987,-0.987,1,0,533481,533481,0.6329,0.3889,0.2334
2024-07-01,0.9977,0.0,0.9977,1,417202,0,417202,0.7241,0.2916,0.4245
2024-07-04,0.988,0.0,0.988,1,1742291,0,1742291,0.7901,0.2187,0.5654
2024-07-05,0.9946,0.0,0.9946,1,244565,0,244565,0.8412,0.1641,0.6727
2024-07-08,0.0,0.9833,-0.9833,1,0,209144,209144,0.6309,0.3689,0.2587
2024-07-09,0.9981,0.0,0.9981,1,443359,0,443359,0.7227,0.2766,0.4435
2024-07-10,0.8248,0.0,0.8248,2,858554,0,858554,0.7482,0.2075,0.5388
2024-07-11,0.9955,0.0,0.9955,1,234010,0,234010,0.81,0.1556,0.653
2024-07-12,0.9842,0.9969,0.1619,3,1569195,1113467,2682662,0.8536,0.3659,0.5302
2024-07-16,0.9938,0.0,0.9938,2,272676,0,272676,0.8886,0.2745,0.6461
2024-07-17,0.999,0.0,0.999,1,208716,0,208716,0.9162,0.2058,0.7343
2024-07-18,0.9981,0.0,0.9981,2,267721,0,267721,0.9367,0.1544,0.8003
2024-07-19,0.9755,0.9677,0.8471,12,6117814,432690,6550504,0.9464,0.3577,0.812
2024-07-20,0.9517,0.0,0.9517,6,1898284,0,1898284,0.9477,0.2683,0.8469
2024-07-21,0.9692,0.0,0.9692,1,135781,0,135781,0.9531,0.2012,0.8775
2024-07-22,0.9144,0.0,0.9144,2,631147,0,631147,0.9434,0.1509,0.8867
2024-07-24,0.9863,0.0,0.9863,1,332073,0,332073,0.9541,0.1132,0.9116
2024-07-26,0.9892,0.0,0.9892,2,412231,0,412231,0.9629,0.0849,0.931
2024-07-27,0.9991,0.0,0.9991,1,719303,0,719303,0.972,0.0637,0.948
2024-07-28,0.9885,0.0,0.9885,1,770798,0,770798,0.9761,0.0477,0.9581
2024-08-02,0.999,0.0,0.999,1,3049938,0,3049938,0.9818,0.0358,0.9684
