text,label
腾讯三季度净利润631.3亿,1
天猫618惊喜红包真的好大,1
腾讯回应余承东鸿蒙喊话,1
雷军壁纸 逆天改命,1
小米澎湃OS3,1
雷军说输给特斯拉不丢人,1
雷军漂移,1
雷军带王传福参观小米工厂,1
七成SU7进店客户只看小米,0
新一代小米SU7申报图曝光,1
小米超大众丰田成全球新能源第七,1
小米耳机,1
小米汽车,1
小米4分钟市值蒸发近800亿港元,0
雷军直言YU7输给ModelY原因,0
天猫618最后一波国补低至4折,1
付航618不要passion要fast,0
雷军辟谣,1
小米发布最新MiMo大模型,1
曝雷军押注的中年人泡泡玛特将上市,1
阿里发布高德扫街榜,0
雷军祝贺BMW夺冠,1
小米人形机器人现场视频曝光,1
雷军称澎程新系列已打磨3年半,1
阿里云新模型稳居全球开源第一,1
雷军说不想背刺老用户,0
小米将发布新一代OS,1
小米YU7续航信息曝光,1
雷军达成京沪高速只充一次电,1
雷军致谢,1
618首波美妆开箱,1
说6180元不会大富大贵的请让给我,0
雷军回应,1
女子离家9天猫咪打开热水浴室被泡,0
小米SU7破新车企10万台下线纪录,1
黄仁勋称想买一辆小米汽车,1
雷军回应装600斤车厘子被指违规,0
手机之家向小米公开致歉,0
小米15Ultra及SU7Ultra今日发布,1
雷军问直播放歌有没有版权问题,1
王建国秒变天猫双11种草王,1
雷军吃五仁汤圆吃破防了,0
雷军回应小米手机第一,1
雷军希望新SU7订单交付持平,1
雷军说芯片很贵不建议拆开看彩蛋,0
雷军在临沂一服务区被米粉送炒鸡,0
腾讯视频星光大赏,1
小米耳机,1
小米笔记本,1
小米再创新高,1
小米YU7续航信息曝光,1
小米高阶驾驶培训含多项安全课程,1
雷军刚知道柯洁定了SU7Ultra,1
小米15外观,1
双十一天猫买美妆立省1500,1
小米SU7Ultra车主深夜城区飙车,0
京东618大额券,1
天猫双11美妆大牌特卖2折抢,1
小米SU7辅助泊车冲下路边草坡,0
腾讯开启史上最大就业计划,1
小米车主说遭货车逼停被指别车在先,0
小米YU7,1
腾讯视频给杨紫做的生贺视频,1
腾讯市值暴跌至4.7万亿港元,0
雷军直播时突然被封,0
徐洁云回应小米澎程可加92号汽油,1
小米YU7 发布会,1
林诗栋3比0阿里,1
雷军回应卖一辆车亏6万多,0
小米YU7本周正式发布,1
小米三季度净利润113.11亿,1
SU7爆燃遇难者父亲称小米仍没来联系,0
雷军晒15年前小米手机发布会,1
雷军晒健身房照片,1
腾讯回应微信提现可免手续费,0
不让卖小米事件当事人道歉,0
雷军 健身房打卡,1
特斯拉销量冠军因SU7加了定语,1
腾讯营收首超7000亿,1
骄阳似我腾讯视频热度值破30000,1
原特斯拉厂长首次代表小米发言,1
阿里离职员工说不要消费马云,0
腾讯AI助手马维斯正式上工,1
雷军喜提1小时首富体验卡,1
